path,category,rule,gpu,label,schema,driver,frequenciesMeasured,flags,hasSamplesCsv,why
data/frequency-sweeps/20260815-233703_verify-3pt_sweep.json,verification,tool-verification-3pt,NVIDIA GeForce RTX 5060 Ti,verify-3pt,0.1.0,610.88,3,no-vram-record;no-encoder-telemetry,True,"The three early three-point runs. The paper counts these SEPARATELY from the per-card totals, and data/frequency-sweeps/README.md says they must not be pooled with real sweeps."
data/frequency-sweeps/20260815-234947_verify-3pt-stock_sweep.json,verification,tool-verification-3pt,NVIDIA GeForce RTX 5060 Ti,verify-3pt-stock,0.1.0,610.88,3,no-vram-record;no-encoder-telemetry,True,"The three early three-point runs. The paper counts these SEPARATELY from the per-card totals, and data/frequency-sweeps/README.md says they must not be pooled with real sweeps."
data/frequency-sweeps/20260816-000447_verify-3pt-membw_sweep.json,verification,tool-verification-3pt,NVIDIA GeForce RTX 5060 Ti,verify-3pt-membw,0.1.0,610.88,3,no-vram-record;no-encoder-telemetry,True,"The three early three-point runs. The paper counts these SEPARATELY from the per-card totals, and data/frequency-sweeps/README.md says they must not be pooled with real sweeps."
data/frequency-sweeps/20260816-001048_5060ti-gemm-floor15_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-gemm-floor15,0.1.0,610.88,13,no-vram-record;no-encoder-telemetry,True,
data/frequency-sweeps/20260816-001734_5060ti-membw-floor15_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-membw-floor15,0.1.0,610.88,13,no-vram-record;no-encoder-telemetry,True,
data/frequency-sweeps/20260816-124651_5060ti-gemm-fine-p1_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-gemm-fine-p1,0.1.0,610.88,13,no-vram-record;no-encoder-telemetry,True,
data/frequency-sweeps/20260816-125959_5060ti-membw-fine-p1_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-membw-fine-p1,0.1.0,610.88,13,no-vram-record;no-encoder-telemetry,True,
data/frequency-sweeps/20260816-130549_5060ti-membw-fine-p2_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-membw-fine-p2,0.1.0,610.88,13,no-vram-record;no-encoder-telemetry,True,
data/frequency-sweeps/20260816-131140_5060ti-gemm-fine-p2_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-gemm-fine-p2,0.1.0,610.88,13,no-vram-record;no-encoder-telemetry,True,
data/frequency-sweeps/20260822-160740_5060ti-splitcurve-gemm-r1_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-splitcurve-gemm-r1,0.2.0,610.88,13,no-vram-record;no-encoder-telemetry;settings-declared-unverified,True,
data/frequency-sweeps/20260822-161322_5060ti-splitcurve-gemm-r2_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-splitcurve-gemm-r2,0.2.0,610.88,13,no-vram-record;no-encoder-telemetry;settings-declared-unverified,True,
data/frequency-sweeps/20260822-161921_5060ti-splitcurve-membw-r2_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-splitcurve-membw-r2,0.2.0,610.88,10,no-vram-record;no-encoder-telemetry;settings-declared-unverified,True,
data/frequency-sweeps/20260822-163705_5060ti-splitcurve-gemm-r3-quiet_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-splitcurve-gemm-r3-quiet,0.2.0,610.88,13,no-vram-record;no-encoder-telemetry;settings-declared-unverified,True,
data/frequency-sweeps/20260822-165213_5060ti-splitcurve-gemm-r4-instantreplay-on_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-splitcurve-gemm-r4-instantreplay-on,0.2.0,610.88,13,no-vram-record;no-encoder-telemetry;settings-declared-unverified,True,
data/frequency-sweeps/20260822-165944_5060ti-splitcurve-gemm-r5-instantreplay-off_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-splitcurve-gemm-r5-instantreplay-off,0.2.0,610.88,13,no-vram-record;no-encoder-telemetry;settings-declared-unverified,True,
data/frequency-sweeps/20260822-173451_5060ti-gemm-floor15-rerun_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-gemm-floor15-rerun,0.3.0,610.88,13,no-vram-record,True,
data/frequency-sweeps/20260822-174118_5060ti-membw-floor15-rerun_sweep.json,dataset-grade,,NVIDIA GeForce RTX 5060 Ti,5060ti-membw-floor15-rerun,0.3.0,610.88,13,no-vram-record,True,
